historian,period_label,year
Leo Steinberg research,Renaissance,1990
Leo Steinberg research,Renaissance,1991
Leo Steinberg research,Renaissance,1992
Leo Steinberg research,Renaissance,1993
Leo Steinberg research,Renaissance,1994
Leo Steinberg research,Renaissance,1995
Leo Steinberg research,Renaissance,1996
Luisa Vertova,Renaissance,1949
Luisa Vertova,Renaissance,1951
Luisa Vertova,Renaissance,1952
Luisa Vertova,Renaissance,1955
Luisa Vertova,Renaissance,1960
Luisa Vertova,Renaissance,1961
Luisa Vertova,Renaissance,1962
Luisa Vertova,Renaissance,1963
Luisa Vertova,Renaissance,1964
Luisa Vertova,Renaissance,1965
Luisa Vertova,Renaissance,1966
Luisa Vertova,Renaissance,1967
Luisa Vertova,Renaissance,1968
Luisa Vertova,Renaissance,1969
Luisa Vertova,Renaissance,1970
Luisa Vertova,Renaissance,1971
Luisa Vertova,Renaissance,1972
Luisa Vertova,Renaissance,1973
Luisa Vertova,Renaissance,1974
Luisa Vertova,Renaissance,1975
Luisa Vertova,Renaissance,1976
Luisa Vertova,Renaissance,1977
Luisa Vertova,Renaissance,1978
Luisa Vertova,Renaissance,1979
Luisa Vertova,Renaissance,1980
Luisa Vertova,Renaissance,1981
Luisa Vertova,Renaissance,1982
Luisa Vertova,Renaissance,1983
Luisa Vertova,Renaissance,1984
Luisa Vertova,Renaissance,1985
Luisa Vertova,Renaissance,1986
Luisa Vertova,Renaissance,1987
Luisa Vertova,Renaissance,1988
Luisa Vertova,Renaissance,1989
Luisa Vertova,Renaissance,1990
Luisa Vertova,Renaissance,1991
Luisa Vertova,Renaissance,1992
Luisa Vertova,Renaissance,1993
Luisa Vertova,Renaissance,1994
Luisa Vertova,Renaissance,1995
Luisa Vertova,Renaissance,1996
Luisa Vertova,Renaissance,1997
Luisa Vertova,Renaissance,1998
Luisa Vertova,Renaissance,1999
Luisa Vertova,Renaissance,2000
Luisa Vertova,Renaissance,2001
Luisa Vertova,Renaissance,2002
Luisa Vertova,Renaissance,2003
Luisa Vertova,Renaissance,2004
Luisa Vertova,Renaissance,2005
Luisa Vertova,Renaissance,2006
Luisa Vertova,Renaissance,2007
Luisa Vertova,Renaissance,2008
Luisa Vertova,Renaissance,2009
Luisa Vertova,Renaissance,2010
Luisa Vertova,Renaissance,2011
Luisa Vertova,Renaissance,2012
Luisa Vertova,Renaissance,2013
Luisa Vertova,Renaissance,2014
Luisa Vertova,Renaissance,2015
Luisa Vertova,Renaissance,2016
Luisa Vertova,Renaissance,2017
Luisa Vertova,Renaissance,2018
Richard Krautheimer,Renaissance,1943
Richard Krautheimer,Renaissance,1944
Richard Krautheimer,Renaissance,1945
Richard Krautheimer,Renaissance,1946
Richard Krautheimer,Renaissance,1947
Richard Krautheimer,Renaissance,1948
Richard Krautheimer,Renaissance,1949
Richard Krautheimer,Renaissance,1950
Richard Krautheimer,Renaissance,1951
Richard Krautheimer,Renaissance,1952
Richard Krautheimer,Renaissance,1953
Richard Krautheimer,Renaissance,1954
Richard Krautheimer,Renaissance,1955
Richard Krautheimer,Renaissance,1956
Richard Krautheimer,Renaissance,1957
Richard Krautheimer,Renaissance,1958
Richard Krautheimer,Renaissance,1959
Richard Krautheimer,Renaissance,1960
Richard Krautheimer,Renaissance,1961
Richard Krautheimer,Renaissance,1962
Richard Krautheimer,Renaissance,1963
Richard Krautheimer,Renaissance,1964
Richard Krautheimer,Renaissance,1965
Richard Krautheimer,Renaissance,1966
Richard Krautheimer,Renaissance,1967
Richard Krautheimer,Renaissance,1968
Richard Krautheimer,Renaissance,1969
Richard Krautheimer,Renaissance,1970
Richard Krautheimer,Renaissance,1971
Richard Krautheimer,Renaissance,1972
Richard Krautheimer,Renaissance,1973
Richard Krautheimer,Renaissance,1974
Richard Krautheimer,Renaissance,1975
Richard Krautheimer,Renaissance,1976
Richard Krautheimer,Renaissance,1977
Richard Krautheimer,Renaissance,1978
Richard Krautheimer,Renaissance,1979
Richard Krautheimer,Renaissance,1980
Richard Krautheimer,Renaissance,1981
Richard Krautheimer,Renaissance,1982
Richard Krautheimer,Renaissance,1983
Richard Krautheimer,Renaissance,1984
Richard Krautheimer,Renaissance,1985
Richard Krautheimer,Renaissance,1986
Richard Krautheimer,Renaissance,1987
Richard Krautheimer,Renaissance,1988
Richard Krautheimer,Renaissance,1989
Richard Krautheimer,Renaissance,1990
Richard Krautheimer,Renaissance,1991
Richard Krautheimer,Renaissance,1992
Richard Krautheimer,Renaissance,1993
Richard Krautheimer,Renaissance,1994
Richard Krautheimer,Renaissance,1995
Richard Krautheimer,Renaissance,1996
Richard Krautheimer,Renaissance,1997
Richard Krautheimer,Renaissance,1998
Richard Krautheimer,Renaissance,1999
Richard Krautheimer,Renaissance,2000
Richard Krautheimer,Renaissance,2001
Richard Krautheimer,Renaissance,2002
Richard Krautheimer,Renaissance,2003
Stefano Tumidei,Renaissance,1984
Stefano Tumidei,Renaissance,1985
Stefano Tumidei,Renaissance,1986
Stefano Tumidei,Renaissance,1987
Stefano Tumidei,Renaissance,1988
Stefano Tumidei,Renaissance,1989
Stefano Tumidei,Renaissance,1990
Stefano Tumidei,Renaissance,1991
Stefano Tumidei,Renaissance,1992
Stefano Tumidei,Renaissance,1993
Stefano Tumidei,Renaissance,1994
Stefano Tumidei,Renaissance,1995
Stefano Tumidei,Renaissance,1996
Stefano Tumidei,Renaissance,1997
Stefano Tumidei,Renaissance,1998
Stefano Tumidei,Renaissance,1999
