subject,subjectLabel,typeOfInterest,interest,interestLabel
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q156890,Ernst Barlach
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q462437,composition
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,Space and time in art,
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q220,Rome
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q5582,Vincent van Gogh
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q133036,lithography
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q29231,Frans Snyders
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,Art appreciation,
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q41554,Nicolas Poussin
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q35548,Paul Cezanne
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q159297,John Constable
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1028181,painter
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1629748,Kurt Badt
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3957,town
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q153987,University of Freiburg
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q495110,Andrea Solari
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q5597,Raphael
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q188968,perspective
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q35986,aesthetics
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q61509,travel
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q46,Europe
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q855395,interpretation 
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3305213,painting
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q191163,landscape art
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q41264,Johannes Vermeer
